,id,date,dailyVolumeETH,dailyVolumeUSD,dailyVolumeUntracked,totalVolumeUSD,totalLiquidityUSD,mostLiquidTokens,txCount
0,18387,1588636800,0.0,0.0,0.0054656964463463,0,0.989,[],3
1,18388,1588723200,0.0,0.0,0.0015296117808232,0,3.205901078245612,[],8
2,18389,1588809600,0.0,0.0,0.0,0,3.2059043208171025,[],10
3,18390,1588896000,0.0,0.0,0.0,0,18.815672405471304,[],18
4,18393,1589155200,0.0,0.0,0.1984747449863082,0,18.75575726469835,[],21
5,18394,1589241600,0.0,0.0,1.54356395670251,0,14.133879986083551,[],33
6,18395,1589328000,0.0,0.0,15.474948029085231,0,231.95512434815237,[],45
7,18396,1589414400,0.0,0.0,52.70402198821616,0,314.3108566667042,[],84
8,18397,1589500800,0.0,0.0,575.0687271353567,0,757.3190631929863,[],127
9,18398,1589587200,0.0,0.0,121.87869670085446,0,887.7901627703701,[],140
10,18399,1589673600,0.0,0.0,30.299337441595597,0,1140.4139045794443,[],150
11,18400,1589760000,0.0,0.0,126335.19691021934,0,1274553.968036319,[],1272
12,18401,1589846400,180.16972605494192,38046.08279573812,1338456.883803504,0,4653179.148398675,[],7104
13,18402,1589932800,1191.62375330862,250868.9786409113,1374516.9255894704,0,11029530.025922718,[],12419
14,18403,1590019200,2427.8844993285,484247.50735679833,1282816.7438940494,0,10804628.660420908,[],16278
15,18404,1590105600,1700.4323185159199,345799.2098251618,1333217.9308510143,0,14325076.416697836,[],21310
16,18405,1590192000,1434.864573536069,297187.985685404,1432355.1614016534,0,15019692.802295033,[],26813
17,18406,1590278400,2849.536761796661,592574.4187574119,1334284.9112291604,0,14662086.967402114,[],31756
18,18407,1590364800,1283.48710027785,259997.64354590635,1058241.152940036,0,15143861.191013595,[],36871
19,18408,1590451200,1704.0159368599864,341621.0455902897,1398411.6315074945,0,15115680.086981239,[],44537
20,18409,1590537600,1420.7017637069705,291084.42305211467,1179318.9095963633,0,15758985.577237863,[],50083
21,18410,1590624000,2793.1941167338427,590599.9952291688,1432223.269303694,0,16489302.589897772,[],55112
22,18411,1590710400,6767.782238615009,1509136.7357076097,2511240.9888934097,0,17170617.960196774,[],60842
23,18412,1590796800,5321.776149602894,1244635.9956744714,1949473.7313421825,0,22804649.48538441,[],65971
24,18413,1590883200,4740.548334706613,1121430.564857198,2607328.4859727495,0,21925534.296932776,[],74153
25,18414,1590969600,5503.827077801215,1318285.8744959324,2566250.2934205276,0,23850510.420260955,[],82151
26,18415,1591056000,7910.691329498091,1900322.269080958,3222274.549706039,0,23612283.33741283,[],90119
27,18416,1591142400,4344.432731138984,1039106.394954851,3542654.778460866,0,24442060.564949855,[],101460
28,18417,1591228800,4575.658261710008,1109304.0353377713,2652589.639544682,0,24450309.295804948,[],111061
29,18418,1591315200,3931.968542964588,949848.4938664434,2558156.203270104,0,24908974.026662517,[],120396
30,18419,1591401600,4006.0850218858154,962560.2956703705,3410591.6285569724,0,25378138.379630025,[],130880
31,18420,1591488000,5468.486596027701,1313947.4999442413,4303620.379257375,0,26051204.80134944,[],142620
32,18421,1591574400,6889.443321098545,1668961.8703909807,4902956.512756869,0,25135723.978982802,[],155506
33,18422,1591660800,13026.939287961208,3157435.2280620206,6091173.267991621,0,27582094.868639074,[],168286
34,18423,1591747200,10143.692933873135,2467230.8550364617,5402138.457799816,0,27915763.740189046,[],180331
35,18424,1591833600,20144.8648669076,4839095.476555666,21324222.135545094,0,26712141.975474738,[],192003
36,18425,1591920000,6724.441682321175,1579740.286965294,6301465.653675232,0,28335733.544561896,[],204399
37,18426,1592006400,5991.028649900972,1418871.906819682,4580188.042119746,0,28860160.689098764,[],215631
38,18427,1592092800,5237.446854552343,1224525.983167024,3502721.701141064,0,27865413.166793007,[],225716
39,18428,1592179200,22040.32869538725,4958816.581208097,20617186.18216664,0,32648286.882892232,[],237639
40,18429,1592265600,13674.793619905327,3165249.121357308,6652970.076170615,0,33397529.476930466,[],252613
41,18430,1592352000,222233.54930360636,51186700.02758506,10555152765.093851,0,33770036.75596696,[],265899
42,18431,1592438400,131014.50103503784,30157969.40589541,4462616230.788119,0,36036436.74851077,[],282343
43,18432,1592524800,137609.4096631392,31332805.105295513,4297592046.943906,0,36304247.507492326,[],300889
44,18433,1592611200,27701.86335198207,6276776.810766834,10171215.463946609,0,37512301.62099255,[],319161
45,18434,1592697600,51376.20654291902,11744645.26068259,17273971.701377675,0,34820980.97955848,[],344859
46,18435,1592784000,52979.06071599068,12534928.53022864,18963009.05496363,0,37744651.88071115,[],370577
47,18436,1592870400,46483.93168080665,11369317.08081296,17588541.833460428,0,39018142.168758005,[],393733
48,18437,1592956800,43718.81030498988,10414574.961902244,19519493.16961368,0,35007735.17577471,[],420030
49,18438,1593043200,63884.1047791517,14839110.563221307,20008832.47336273,0,33024210.794735864,[],443495
50,18439,1593129600,51497.436265227145,11842435.598122088,17961691.765160296,0,34083242.796283536,[],469782
51,18440,1593216000,55240.39246576328,12477834.749295682,17792238.88425535,0,35007427.469837815,[],495026
52,18441,1593302400,32489.17873011993,7242226.663779235,13744095.352910964,0,36070565.24158174,[],520964
53,18442,1593388800,46264.988334686954,10362642.174230205,15187486.897272613,0,39147419.148856334,[],546846
54,18443,1593475200,43954.47294625229,9899112.543589223,13902676.14458028,0,41228806.62875165,[],568658
55,18444,1593561600,58505.28359985306,13235159.380119352,17891114.449591085,0,44263527.4459452,[],595202
56,18445,1593648000,66556.33640367487,15048457.3543646,20281949.96545267,0,42126488.49152744,[],624677
57,18446,1593734400,58645.73361980913,13153208.062650066,19990071.180254985,0,42319921.578147694,[],659616
58,18447,1593820800,40403.399748111915,9072502.165199885,15902519.751129003,0,43250568.72805395,[],694581
59,18448,1593907200,34850.46567330115,7830160.5031737,14650582.134083223,0,44228644.390232325,[],728875
60,18449,1593993600,43933.65929031934,10229539.223083572,17215058.378104493,0,46994407.21840321,[],761615
61,18450,1594080000,37218.62865248919,8814589.564116452,15428540.111517372,0,48089679.07610272,[],794336
62,18451,1594166400,55302.732965702555,13377561.584469384,20404425.692374773,0,52934211.38952396,[],829155
63,18452,1594252800,67444.52194710932,16307568.11288974,22552551.61654776,0,57987434.12034137,[],862671
64,18453,1594339200,63991.08409561648,15183316.397652252,20071978.600097984,0,57554450.7399288,[],895504
65,18454,1594425600,71338.22606193396,16975695.651039537,21556461.901902266,0,61112860.48241779,[],924355
66,18455,1594512000,101957.54326123824,24242082.575193875,29485858.98339662,0,62899079.784833126,[],957241
67,18456,1594598400,170663.4214234796,41127410.39359431,47585475.2568027,0,63251278.37868732,[],997666
68,18457,1594684800,95627.64879233262,22752133.086975552,27632351.209947255,0,65487660.89871152,[],1027410
69,18458,1594771200,103205.4567438268,24522542.117378123,29628841.390316263,0,69151180.43476394,[],1056558
70,18459,1594857600,95959.70232445904,22297678.97440824,27970015.267828524,0,73915518.00551315,[],1085101
71,18460,1594944000,157963.90644977265,36627200.062801994,43440880.09918836,0,78303207.87651607,[],1125456
72,18461,1595030400,160884.05529147005,37473255.37319175,45826671.816308975,0,81133072.61924082,[],1168808
73,18462,1595116800,155738.30738627503,36369103.49404724,49363777.008689836,0,87421688.32004066,[],1221239
74,18463,1595203200,184902.75953757635,43793966.167036675,57442997.74148855,0,86912474.6809136,[],1272189
75,18464,1595289600,186641.01374294527,44970349.96825036,56275763.98340965,0,92334982.44098744,[],1321246
76,18465,1595376000,218905.01233147227,53855098.367425404,67326869.83373402,0,95317421.92790912,[],1373931
77,18466,1595462400,230781.2323204961,61389083.353381045,73092641.65463232,0,99630803.78701024,[],1424174
78,18467,1595548800,224297.64559127553,61508740.15725413,76526546.23066352,0,108275550.04223014,[],1478665
79,18468,1595635200,297059.330134457,85029056.61613093,103458109.4245275,0,126667689.25807665,[],1540191
80,18469,1595721600,298242.8352417974,91366557.69540572,108577124.74293695,0,135311595.84209704,[],1601414
81,18470,1595808000,379149.82896438154,121947686.12779596,143263867.57875296,0,143633269.2954145,[],1667018
82,18471,1595894400,254660.49978067775,80368942.10480423,96749718.9564817,0,144754211.54002002,[],1722212
83,18472,1595980800,287362.6986052874,91026691.33999592,109792299.20354743,0,141334131.58102947,[],1784752
84,18473,1596067200,354529.52169022226,112485532.68510072,129892769.138802,0,141945870.42044416,[],1852024
85,18474,1596153600,317206.3990502193,107058142.6948724,129405157.02436204,0,151853908.72513112,[],1936328
86,18475,1596240000,243097.77203325328,87169571.74065542,108854954.06660809,0,170021688.15632197,[],2008437
87,18476,1596326400,210740.26860559167,79203153.16888192,94840433.21037523,0,160305044.03907347,[],2066140
88,18477,1596412800,193932.57260131097,74710425.90698078,95511558.56627949,0,173454249.64950618,[],2134947
89,18478,1596499200,189448.3937251388,73637769.19133817,91539996.3134068,0,179890793.82294545,[],2203646
