,id,countLiquidated,countLiquidator,hasBorrowed,health,totalBorrowValueInEth,totalCollateralValueInEth,tokens.0.symbol,tokens.1.symbol,tokens.2.symbol,tokens.3.symbol,tokens.4.symbol,tokens.5.symbol,tokens.6.symbol,tokens.7.symbol,tokens.8.symbol,tokens.9.symbol,tokens.10.symbol,tokens.11.symbol,tokens.12.symbol,tokens.13.symbol
0,0x0000000000000000000000000000000000000000,0,0,False,,0,0.017029378207193367511570402824586008844,cREP,cUSDC,cETH,cDAI,cBAT,cZRX,cWBTC,cDAI,,,,,,
1,0x000000000000000000000000000000000000dead,0,0,False,,0,3.71560761915858640107131876932170067e-10,cUSDC,cDAI,cBAT,cZRX,,,,,,,,,,
2,0x000000000000006f6502b7f2bbac8c30a3f67e9a,0,0,False,,0,0,cDAI,,,,,,,,,,,,,
3,0x0000000000000eb4ec62758aae93400b3e5f7f18,0,0,False,,0,0,cUNI,cUSDC,cETH,cDAI,cBAT,cZRX,cDAI,,,,,,,
4,0x00000000000017c75025d397b91d284bbe8fc7f2,0,0,False,,0,0,cDAI,,,,,,,,,,,,,
5,0x0000000000002cb29260612e744ec57d9d1fc5c6,0,0,False,,0,0,cUSDT,,,,,,,,,,,,,
6,0x0000000000002d534ff79e9c69e7fcc742f0be83,0,0,False,,0,1.655119073653277595e-10,cETH,,,,,,,,,,,,,
7,0x0000000000005117dd3a72e64a705198753fdd54,0,0,False,,0,0,cUSDC,cDAI,,,,,,,,,,,,
8,0x00000000000067afd7fa546d3f63d4e53cdb8fa4,0,34,False,,0,1.31025011359068282669181068393914853837e-7,cUSDC,cETH,cDAI,cBAT,cCOMP,cZRX,cWBTC,cWBTC,,,,,,
9,0x0000000000007f150bd6f54c40a34d7c3d5e9f56,0,0,False,,0,0.0278615733182011314684009825832024789023170465,cUNI,cUSDC,cETH,cDAI,cBAT,cCOMP,cZRX,cWBTC,cDAI,cUSDT,,,,
10,0x00000000000080c886232e9b7ebbfb942b5987aa,0,0,False,,0,0,cUNI,cUSDC,cSUSHI,cETH,cDAI,cWBTC,cDAI,cUSDT,,,,,,
11,0x000000000000abe945c436595ce765a8a261317b,0,0,False,,0,0,cUSDC,cETH,,,,,,,,,,,,
12,0x000000000000deab340f067535869a0e5226e58a,0,0,False,,0,0,cDAI,,,,,,,,,,,,,
13,0x00000000000123685885532dcb685c442dc83126,0,0,False,,0,0.0029274490661690044473024703858617,cETH,cWBTC,,,,,,,,,,,,
14,0x00000000000e1d0dabf7b7c7b68866fc940d0db8,0,0,False,,0,0.0681050714983571984339281812017214,cETH,cWBTC,,,,,,,,,,,,
15,0x00000000001876eb1444c986fd502e618c587430,0,0,False,,0,0,cDAI,,,,,,,,,,,,,
16,0x000000000025d4386f7fb58984cbe110aee3a4c4,0,0,False,,0,0,cUSDC,cETH,cDAI,cBAT,cZRX,cWBTC,cUSDT,,,,,,,
17,0x000000000035b5e5ad9019092c665357240f594e,0,0,False,,0,4.625031774967124459500549341429075e-13,cUNI,,,,,,,,,,,,,
18,0x00000000003b3cc22af3ae1eac0440bcee416b40,0,0,False,,0,4.929504108712116817857437209005455e-13,cUNI,cZRX,,,,,,,,,,,,
19,0x0000000000422b2f811c10b1cc887d0cbf0f765e,0,0,False,,0,0,cUNI,cCOMP,,,,,,,,,,,,
20,0x0000000000438f975cbde76d5fdd1aa76be46577,0,0,False,,0,0,cUNI,,,,,,,,,,,,,
21,0x000000000075a43abafc7c8ac407c6ce74f3cc28,0,0,False,,0,0,cDAI,cZRX,cUSDT,,,,,,,,,,,
22,0x000000000081105ffd4392520dd13c4c70d95d19,0,0,False,,0,0,cBAT,,,,,,,,,,,,,
23,0x00000000008943c65caf789fffcf953be156f6f8,0,0,False,,0,0,cUSDC,,,,,,,,,,,,,
24,0x00000000008c4fb1c916e0c88fd4cc402d935e7d,0,0,False,,0,1.14950066993908250363609398203904e-13,cDAI,,,,,,,,,,,,,
25,0x00000000009a41862f3b2b0c688b7c0d1940511e,0,0,True,2.64581269414149895194,0.0000093866948869443366785813980619427,0.000024835436487910428344315311461549244915712,cTUSD,cUSDC,cDAI,cWBTC,cUSDT,,,,,,,,,
26,0x0000000000a8fb09af944ab3baf7a9b3e1ab29d8,0,0,False,,0,0,cUNI,cUSDC,cETH,cDAI,cBAT,cUSDT,,,,,,,,
27,0x0000000000c521824eaff97eac7b73b084ef9306,0,0,False,,0,0,cUSDC,,,,,,,,,,,,,
28,0x0000000000c9b1dde987a6abe20a2af8d9e636d9,0,0,False,,0,0,cBAT,cWBTC,,,,,,,,,,,,
29,0x0000000000ebbdaf01e3de2506ca1e4c08d3ceba,0,0,False,,0,0,cDAI,cDAI,,,,,,,,,,,,
30,0x0000000000f4def5f3572c846b1483daf4588d8f,0,0,False,,0,3.642917669620378041267768e-7,cUSDC,cETH,,,,,,,,,,,,
31,0x0000000008980b7095e3fed4a047e930c871a200,0,0,False,,0,0,cUSDT,,,,,,,,,,,,,
32,0x000000000a2daefe11b26dcdaecde7d33ad03e9d,0,0,False,,0,0,cUSDC,cETH,cDAI,cBAT,cZRX,cUSDT,,,,,,,,
33,0x000000000ddff3ce6638c1f1a1448a7d243b6cc8,0,0,False,,0,0,cUSDC,cDAI,cZRX,,,,,,,,,,,
34,0x00000000500e2fece27a7600435d0c48d64e0c00,0,0,False,,0,3.0447233374499235835688786757638e-14,cZRX,,,,,,,,,,,,,
35,0x0000000053d411becdb4a82d8603edc6d8b8b3bc,0,0,False,,0,0,cDAI,,,,,,,,,,,,,
36,0x00000000553a85582988aa8ad43fb7dda2466bc7,0,8,False,,0,0.000110018739542678471426680475386366430992741,cUNI,cUSDC,cETH,cDAI,cBAT,cZRX,cWBTC,cUSDT,,,,,,
37,0x0000000073ab64137e95dea458bac6d7aa503636,0,1,False,,0,5.7475033496954125181804699101952e-14,cDAI,,,,,,,,,,,,,
38,0x0000000094acb89a43eac2fbb3a07973efc2435c,0,30,False,,0,0.0305100265854721476452818041150297819568318355,cUNI,cUSDC,cETH,cDAI,cBAT,cCOMP,cWBTC,cUSDT,,,,,,
39,0x0000000096b674bb0ea9c74c28be782bb48724de,0,0,False,,0,0.0005671152774862817077055567159001,cWBTC,,,,,,,,,,,,,
40,0x00000000af5a61acaf76190794e3fdf1289288a1,0,49,False,,0,0.006357554340310807351579389,cETH,cDAI,cBAT,cWBTC,cDAI,,,,,,,,,
41,0x00000000b1786c9698c160d78232c78d6f6474fe,0,47,False,,0,0.006121878066280948368460483923603085004753664,cUSDC,cETH,cDAI,cDAI,,,,,,,,,,
42,0x00000000b2ff98680adaf8a3e382176bbfc34c8f,0,0,False,,0,0,cUNI,cETH,cBAT,cCOMP,cWBTC,cDAI,,,,,,,,
43,0x00000000e1fa75ba0fcb4a319d2928a3fe3638e4,0,0,False,,0,0,cUSDC,cDAI,cBAT,cZRX,cUSDT,,,,,,,,,
44,0x00000000e29fd822365856bde355f5713f917d8f,0,0,False,,0,0,cCOMP,,,,,,,,,,,,,
45,0x00000000e84f2bbdfb129ed6e495c7f879f3e634,0,9,False,,0,0,cETH,cDAI,cZRX,cWBTC,,,,,,,,,,
46,0x00000000fea1fab3ce021f3bedd21a94d0ba190c,0,0,True,0.0596298818568661772542987039987453684473616,0,0.0596298818568661772542987039987453684473616,cUNI,cETH,cCOMP,cWBTC,,,,,,,,,,
47,0x0000000484f2217f1a64eb6d24b5cee446faeae5,0,0,True,1.72932037244703466103,0.00019985188949153715335570580020013248,0.00034560794396974864256872721139264223725833,cUSDC,cETH,cDAI,cBAT,cUSDT,,,,,,,,,
48,0x0000000f8ef4be2b7aed6724e893c1b674b9682d,0,0,False,,0,0,cUSDC,cDAI,,,,,,,,,,,,
49,0x0000002e7af4dda4efffc7229400c578a9f34d00,0,0,False,,0,0,cDAI,,,,,,,,,,,,,
50,0x000000aaee6a496aaf7b7452518781786313400f,6,22,True,0.001338897359656329906536537822061013773755829,0,0.001338897359656329906536537822061013773755829,cREP,cUNI,cUSDC,cETH,cDAI,cBAT,cCOMP,cZRX,cWBTC,cDAI,cUSDT,,,
51,0x000000dcf1190af44f7149b85299f18ce7221024,0,0,True,0,0,0,cUNI,cUSDC,,,,,,,,,,,,
52,0x000000f15851d0875e878a83451163999bf5da51,0,0,True,0,0,0,cUNI,cUSDC,cETH,,,,,,,,,,,
53,0x000000f54395c554346bfd24e6a1ccd90b881a4e,0,0,False,,0,0,cREP,cUSDC,cETH,cDAI,cBAT,cZRX,cWBTC,cDAI,,,,,,
54,0x000000fe6d4bc2de2d0b0e6fe47f08a28ed52f91,0,0,False,,0,0.000152689553737756625194817536318545072,cREP,cUSDC,cETH,cBAT,cZRX,cWBTC,cDAI,,,,,,,
55,0x000000fe6d4bc2de2d0b0e6fe47f08a28ed52f92,0,0,False,,0,0.000152689553737756625194817536318545072,cREP,cUSDC,cETH,cBAT,cZRX,cWBTC,cDAI,,,,,,,
56,0x000000fe6d4bc2de2d0b0e6fe47f08a28ed52f93,0,0,False,,0,0.000152689553737756625194817536318545072,cREP,cUSDC,cETH,cBAT,cZRX,cWBTC,cDAI,,,,,,,
57,0x000000fe6d4bc2de2d0b0e6fe47f08a28ed52f94,0,0,False,,0,0.000152689553737756625194817536318545072,cREP,cUSDC,cETH,cBAT,cZRX,cWBTC,cDAI,,,,,,,
58,0x000000fe6d4bc2de2d0b0e6fe47f08a28ed52f9d,0,0,False,,0,0.000152689553737756625194817536318545072,cREP,cUSDC,cETH,cBAT,cZRX,cWBTC,cDAI,,,,,,,
59,0x000000fe6d4bc2de2d0b0e6fe47f08a28ed52f9e,0,0,False,,0,0.000152689553737756625194817536318545072,cREP,cUSDC,cETH,cBAT,cZRX,cWBTC,cDAI,,,,,,,
60,0x00000a6bbb35ea3f6f8dbc94801738f490c30a8d,0,0,False,,0,0,cREP,cUSDC,cETH,cBAT,cZRX,cDAI,,,,,,,,
61,0x00000b46508882a135b4933b82a07df8f24a0068,0,0,False,,0,0.0005923499891292742126110556169698552195328,cDAI,,,,,,,,,,,,,
62,0x00000f2d00b7a76100366c0013c2000595ee0067,0,0,False,,0,0,cUSDC,cETH,cDAI,cDAI,cUSDT,,,,,,,,,
63,0x00001d0f60d085992272cde64bb4975b3eb55bd1,0,0,False,,0,0,cETH,,,,,,,,,,,,,
64,0x0000209fa57715b0833456a57528e0b38b6ef7e5,0,0,False,,0,0.002204783049790132834357467872916311369678899,cREP,cUSDC,cETH,cDAI,cBAT,cZRX,cWBTC,cDAI,,,,,,
65,0x00002b503a75998c97508916a74fdb41934fa030,0,0,True,0,0,0,cUNI,cETH,cDAI,cCOMP,cWBTC,cWBTC,,,,,,,,
66,0x00007c3325b084b979b622ddf264bf9e45b8c2fd,0,0,False,,0,0,cDAI,,,,,,,,,,,,,
67,0x00008d844b8610d9347e801167741ffc8de80b42,0,0,False,,0,0.0008317929740187939380233934976,cUSDC,,,,,,,,,,,,,
68,0x00008eed5265fd3f9f0e333b374bc12a88e5fb88,0,0,False,,0,0.0056652195214088076215407245,cETH,,,,,,,,,,,,,
69,0x0000ce08fa224696a819877070bf378e8b131acf,0,0,True,3.74081310582871202107,0.00220601499423854065922907243794374784,0.0082522898021021835385125645,cSUSHI,cETH,,,,,,,,,,,,
70,0x0000e0ca771e21bd00057f54a68c30d400000000,0,0,False,,0,35.0416208797728160400923380692816722231675579495,cUNI,cUSDC,cSUSHI,cETH,cDAI,cWBTC,cDAI,cUSDT,,,,,,
71,0x0000fee6275dab194ab538a01dd8b18b02b20000,0,6,False,,0,0.01032245223424865679811257305177394571787437,cUNI,cETH,cDAI,cCOMP,cWBTC,,,,,,,,,
72,0x000100000d0000bdeac500e76fb2bed82daca18e,0,0,False,,0,0,cDAI,,,,,,,,,,,,,
73,0x00010000d17fa4c7008c9859db000def695300f5,0,0,False,,0,0,cBAT,,,,,,,,,,,,,
74,0x00011822d64437711d2f648878c53cd4cc5aebe2,0,0,False,,0,0.0008319500525046807566772276096,cUSDC,,,,,,,,,,,,,
75,0x000128d8ae6d4f648ae831a04deadadf02c80ad4,0,0,False,,0,0.000831770543449473355414579392,cUSDC,,,,,,,,,,,,,
76,0x000196c7969fe7dd8f51882c02d302bc64f0a199,0,0,False,,0,0.0008323256914773443454872397312,cUSDC,,,,,,,,,,,,,
77,0x0001a91687983a62575600a52d42313246a8b009,0,0,False,,0,0,cUSDT,,,,,,,,,,,,,
78,0x000206732258d7511fa624127228e6a032718e62,0,0,False,,0,0,cDAI,,,,,,,,,,,,,
79,0x000243aa3ec931205e55f2ebfa97003aa7d9e3e0,0,0,False,,0,0.000828048906386661423850754112,cUSDC,cETH,,,,,,,,,,,,
80,0x00027e114cf11ac4493c7f8ad8c9247fde49a1c0,0,0,False,,0,0.0008310524294865369437417138688,cUSDC,,,,,,,,,,,,,
81,0x0002af49269aae4f0bdd945c9b252297a7b90a90,0,0,False,,0,0.0008303496138284183832874525056,cUSDC,,,,,,,,,,,,,
82,0x0002bc07fffbfa77d694398a3a5aa0ae2df65a4e,0,0,False,,0,0,cETH,cUSDT,,,,,,,,,,,,
83,0x0002dbe29a49088d7a497b0d0fae37a0da6b9ffc,0,0,False,,0,0.0087487193072718458146399471704,cUSDC,cETH,,,,,,,,,,,,
84,0x0003065530ac9da4fbb1eb98f1f96791e157640a,0,0,False,,0,0.004336548685807071059629347,cETH,,,,,,,,,,,,,
85,0x000306d05c3d678660d64e6390732a81467a528e,0,0,False,,0,0.0008296673926487875062684363648,cUSDC,,,,,,,,,,,,,
